x,y
0,0
0,200
0,400
0,600
200,0
200,200
200,400
200,600
400,0
400,200
400,400
400,600
600,0
600,200
600,400
600,600
800,0
800,200
800,400
800,600
1000,0
1000,200
1000,400
1000,600
1200,0
1200,200
1200,400
1200,600
1400,0
1400,200
1400,400
1400,600
1600,0
1600,200
1600,400
1600,600
1800,0
1800,200
1800,400
1800,600
2000,0
2000,200
2000,400
2000,600
2200,0
2200,200
2200,400
2200,600
2400,0
2400,200
2400,400
2400,600
2600,0
2600,200
2600,400
2600,600
2800,0
2800,200
2800,400
2800,600
3000,0
3000,200
3000,400
3000,600
3200,0
3200,200
3200,400
3200,600
3400,0
3400,200
3400,400
3400,600
3600,0
3600,200
3600,400
3600,600
